Email,Password
admin@gmail.com,admin123
admin2@gmail.com,admin123
personnel@gmail.com,personnel123
personnel2@gmail.com,personnel123
personnel3@gmail.com,personnel123
student@gmail.com,student123
student2@gmail.com,student123
student3@gmail.com,student123
student4@gmail.com,student123
student5@gmail.com,student123
john.doe@gmail.com,student123
jane.smith@gmail.com,student123
michael.brown@gmail.com,student123
sarah.johnson@gmail.com,student123
david.wilson@gmail.com,student123
emily.davis@gmail.com,student123
james.miller@gmail.com,student123
olivia.moore@gmail.com,student123
